Python开发工程师,20k-40k ,上海,"
经验3-5年","
本科及以上","
        岗位职责：
1、参与机器人的应用平台，多机智能以及DevOps 系统架构设计与实现工作；
2、技术栈: Python/Golang/ Javascript / gRPC- github / netdata / Prometheus / fluent-bit / ElK。

任职要求：
1、精通 Python语言，3年以上的工作经验，会Golang更好；
2、 扎实的计算机基础，理解体系结构和操作系统原理；
3、 熟悉TCP/IP、HTTP等协议；
4、 熟悉基本数据结构与算法分析，良好的编码风格和测试习惯；
5、 较强的独立思考能力、理解能力、沟通能力；
6、强烈的责任感、团队认同感。

加分项：
github 活跃用户，有自己的开源项目
复杂度较高的系统架构设计经验尤为加分
        "
Python开发工程师,15k-25k ,北京,"
经验3-5年","
本科及以上","
        工作职责：
1、负责平台类产品的开发和性能调优；
2、深入理解业务需求，提供具体问题的解决方案；
3、与产品经理配合，快速构建能够满足产品需求的平台，系统及网络基础结构；
任职资格：
1、本科及以上学历，1年以上Python独立开发经验；
2、熟悉至少一种Python的web开发框架（Flask、Django）；
3、熟悉MySQL、Redis等数据库；
4、有独立分析和解决问题的能力，有良好的团队合作精神。
5、熟悉HTML、CSS、JavaScript等前端技术者优先；
        "
python工程师,14k-18k ,深圳,"
经验3-5年","
本科及以上","
        1、具有1-2年爬虫开发经验，精通python，熟练使用多线程，熟悉常用的爬虫框架； 
2、对数据结构和算法设计有较为深刻的理解，具有良好的沟通能力和团队合作意识; 
3、熟悉正则表达式，Jsoup、XPATH，CSS选择器，能够从结构化和非机构化的数据中获取信息,了解各种Web前端技术，包括HTML／XML／JavaScript／AJAX／JSON等; 
4、拥抱新技术，有很强的学习能力； 
5、懂其他技术点加分。 
6、有主流电商平台数据爬取经验优先
        "
python开发,15k-30k ,深圳,"
经验3-5年","
本科及以上","
        岗位职责：
1、负责华为软件学院考试系统的开发和维护，语言为WEB界面开发（JavaScript为主）/后台Python；（新增需求Java）
2、参与软件学院认证平台项目的持续投入，长期跟踪分析业界发展趋势，对标业界先进的能力测评和认证平台。
岗位要求：
1、本科及以上学历，深入理解并精通JavaScript/Python语言的开发应用，具备成熟的软件产品设计和开发经验；
2、具备三年以上相关工作经验，拥有WEB系统开发经历，熟悉性能调优者优先；
3、热爱前端/后端技术开发，能关心和深入研究新技术的发展；
4、具备良好的团队精神和沟通协作能力。
        "
Python开发工程师,25k-50k ,北京,"
经验5-10年","
本科及以上","
        岗位职责：
1、负责自动化运维平台开发，设计并完成各类自动化运维工具开发；
2、负责公司整体运维体系的开发工作，满足自动化、服务化、智能化的长期目标；
3、负责提升团队整体运维效率；
4、负责研究运维领域前沿技术，包括运维自动化技术，监控技术，网络技术等；
5、负责培养和建立专业的运维研发人才队伍。
岗位任职条件：
1. 全日制本科及以上学历，软件工程类、电子信息类、计算机科学类等相关专业背景；
2、本科5年、研究生3年以上运维研发、架构经验；
3、计算机基础扎实，了解常见网络协议(TCP/IP，HTTP等)，扎实的编程能力，一定的算法和数据结构功底，较好的合作开发能力
4、有云计算、运维系统、分布式系统、Web后端等1个或多个系统的研发经验；
5、熟练掌握Python，熟悉一种或多种Python框架，包括但不限于Django、Flask、Tornado、Twisted，掌握常用数据结构和算法；
6、熟悉Linux常用命令,掌握在Linux下进行开发部署测试；
7、熟悉Oracle、MySQL、MongoDB、Redis等数据库，有构建高可用高性能数据库经验者优先；  
8、熟悉高性能、高并发设计方案，例如：全文检索、消息队列等；熟悉高可用系统设计方案，如服务升降级、限流、主备切换等；
9、责任心强，具备快速学习能力和良好沟通能力，能在较大压力下工作；
有以下条件者优先： 
1、对SRE、运维、DevOps拥有深刻理解并且有实践经验；
2、熟悉OpenStack、Docker、Kubernetes等技术；
3、担任过团队运维研发技术负责人。
        "
python开发,15k-17k ,上海,"
经验1-3年","
本科及以上","
        项目背景：今日头条，介意慎投

职位描述： 
1、负责教育中台服务端的算法与工程的设计和研发工作； 
2、运用工程及算法能力实现教育领域的产品落地 
3、主要实现语言为Python ／ Golang。 

职位要求： 
1、大学本科(统招)及以上学历，计算机、通信等相关专业； 
2、有扎实的编程能力，掌握Python，Golang，Java，C++等任意一种后端编程语言
3、深刻理解计算机原理，有良好的数据结构和算法基础，能够通过算法解决效率问题 
4、熟悉Mysql、Memcache、Redis、消息队列等常用WEB组件; 
5、有较好的产品意识优先；
6、积极乐观，责任心强，工作认真细致，具有良好的团队沟通与协作能力；
        "
Python开发,14k-19k ,上海,"
经验3-5年","
本科及以上","
        1、3年以上python开发经验
2、熟练掌握python基础数据结构和通信模型(flask、tonardo等)
3、熟练掌握pandas 、numpy，熟悉数据处理
4、熟悉数据结构，具备清晰的编程思路和编码风格
5、有投资行业金融模型处理经验优先
6、有分布式架构开发经验者优先
（请遵循简历推荐流程）
沟通补充，重点：
1，要有实际开发经验，最好2年以上，
2，要有良好的代码习惯，能够规范写代码
3，最好面试时能够自带电脑展示下自己写的代码，或者现场写代码
        "
python开发工程师,15k-30k ,北京,"
经验3-5年","
本科及以上","
        【岗位职责】参与AI钢琴陪练系统开发1、五线谱模块的开发，包括五线谱数据结构解析、五线谱显示、五线谱交互 2、自适应学习算法的开发，通过分析用户演奏大数据，不断优化教学策略 【任职要求】1、大学本科以上学历，计算机等相关专业，3年以上软件开发工作经验；2、精通python语言，至少熟悉一种python web框架3、熟练使用mysql以及数据表存的结构设计4、熟悉javascript，有复杂UI交互编程经验的更佳5、对音乐感兴趣，能读懂五线谱，或者有志于深入学习五线谱的程序员
        "
python开发工程师,15k-24k ,深圳,"
经验3-5年","
本科及以上","
        岗位要求：1、精通Python，具有高并发服务器开发经验；2、具有移动app数据接口开发经验；3、熟练使用 Redis 等分布式缓存4、具备 PostgreSQL、MySQL 索引优化、查询优化和存储设计经验5、了解 RPC、分布式队列任务优先
        "
Python开发工程师,20k-40k ,上海,"
经验3-5年","
大专及以上","
        职位描述：
1、负责公司智能办公平台模块的功能规划、需求分析和用户体验；
2、负责所属模块的代码开发、调试与维护工作；
3、积极响应用户需求并进行开发和交付；
4、参与公司相关产品的架构优化，性能优化及其模块的技术实现。
岗位要求：
1、学历大专以上，计算机相关专业毕业；3年以上Python开发经验；
2、良好的问题理解能力，能够理解以及处理复杂逻辑；
3、良好的代码风格和开发习惯；
4、熟悉主流前端框架，了解React、Vue、CSS等相关知识；
5、熟悉常见的Web框架，包括Django, Tornado，Flask等；
6、熟悉常见的存储方案，包括MySQL、MongoDB、Redis等；
7、性格积极乐观，诚信，较好的沟通能力，文档整理能力；
8、具备强烈的进取心、求知欲及团队合作精神。
        "
python,10k-20k ,南京,"
经验1-3年","
本科及以上","
        1.至少2年以上爬虫系统开发经验
2. 精通Python, 熟练掌握至少一种开源爬虫框架，熟练掌握mongo、redis、mq、Hadoop等相关技术
        "
